"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Florida","Georgia","Hawaii","Illinois","Indiana","Iowa","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",0,2.65535341330645,2.24714132914295,1.26969358503297,3.19226836765197,2.601197912395,2.24674707887175,1.11689418582123,3.32211275624441,1.8270937569703,2.04133478852688,3.43471576238607,1.81218626217371,0.757171667167073,3.43287971239004,1.26348668213738,2.93243904752472,1.84218834008618,3.18221189252773,1.25600092862404,1.60126497394652,2.29500379057468,2.62309780250075,3.0398354035963,3.50755154196075,2.63815859573807,1.56704624896317,2.01962441525119,1.56811501311923,3.9973899143037,2.22694452026067,1.92683812631061,2.33689918553745,2.47201188557692,3.33426686417181,0.894337145644961,3.03382819300845,0.824404951188349,1.60380799451337,3.03915258256154,3.90836400002115,1.46245215224736,2.60817586500095,3.06692693446238,3.44932511426208,1.80361352738956
"Alaska",2.65535341330645,0,2.63628972573715,2.77496620745197,2.93206028855959,2.26813817407688,2.93138631986939,2.7740728832956,4.43450727413662,3.19246666242533,3.29959817574794,4.64093440030154,3.47758488718389,2.90940130379772,4.7479275781684,2.23027510618303,4.2827903995577,2.06461719407213,4.34534127867884,3.20169897250999,2.48132930347454,3.59075614147513,3.84184989405821,2.28296786207489,4.77864629374759,4.08654443085057,2.01140460998937,3.21269688564303,3.18277488436644,5.12001534067675,3.51556552699078,3.27647411318511,2.64696729598091,4.04283167935793,4.96227209998067,2.52129394743098,4.17097595204656,2.29293929865461,3.08274678728521,3.8684893738254,4.78203682635567,2.99017676230118,3.20713467928128,4.41759693489611,4.78151470733397,3.43495980924398
"Arizona",2.24714132914295,2.63628972573715,0,2.65299636818836,1.2832366665909,1.33774125672968,1.72954085217723,2.74211858365403,3.19572509839618,1.06390529776268,2.5841124494441,4.03347326922547,3.28213186862573,2.18336281915935,4.20937580303807,1.18732142659723,2.46906652426084,1.17608264161721,3.46987472119818,3.38422423214567,1.56082605194091,3.25378782501407,3.09949524525518,1.89466004814629,4.15844681352427,2.13125136048282,1.01902405108515,1.05448901543765,3.07748319583534,4.83078518248821,2.31000555566263,2.21774751814374,1.95911810907131,2.86053810198254,3.00242179746401,2.73881201953421,4.01254281465343,2.2516782601418,1.61801041229527,2.47738139587584,4.98667403129758,2.26007431075508,2.09883458257996,4.39658746977481,3.86606948332175,2.63493133288302
"Arkansas",1.26969358503297,2.77496620745197,2.65299636818836,0,3.67611853572792,2.76860586418634,3.3024695193376,2.18323415366771,2.90154427020188,2.39910931811902,1.41119566371179,2.38457878212656,1.03807508444987,1.99133886752282,2.32512858613437,2.01376291972276,2.62277880879508,2.5345113359608,2.28710603444825,1.90612416144616,1.63146620907377,1.20669400318946,1.69207966689328,3.63203054310481,2.45347445412313,2.66680199843569,2.26874007371511,2.67827238031506,2.03263164447836,2.82898676252522,1.91203880309684,1.38794687189992,1.81096531167002,1.92760250950758,3.01756222642817,1.68178040839699,1.84093846757773,1.40284485592084,2.29440820099758,2.54723300907364,2.69287241382608,0.971385029838263,2.08626191261548,1.95598244655273,2.56171220256753,0.970354362721145
"California",3.19226836765197,2.93206028855959,1.2832366665909,3.67611853572792,0,1.25735273693218,1.99333871129353,3.3129671243549,3.587460720942,1.87647162089527,3.33339363618263,4.87108825432406,4.15196055304607,2.96003015923864,5.16296821267605,2.18102420617501,3.15804714926095,1.48167282518506,4.22810540818484,4.32389563887267,2.23795084486131,4.15653089352746,3.93749581756602,1.17494825209454,5.02443847069541,2.69530764804764,1.75944718822183,1.64905697506965,4.18343264780345,5.74520332335136,2.95244667650443,3.08377276693011,2.60056063162893,3.6410811648197,3.82084235687196,3.66929080679576,4.94324077160367,2.9444399848138,2.12994488562245,3.01420010418966,5.89848243825273,3.1459090799001,2.72066810078089,5.36648677709572,4.64369700775952,3.64547033576539
"Colorado",2.601197912395,2.26813817407688,1.33774125672968,2.76860586418634,1.25735273693218,0,2.40774993334269,2.82114680886404,2.76935682394425,1.75817095176345,2.31871688149443,3.86615667912401,3.15981937180507,2.61287900342763,4.18924427481915,1.9290640966,2.6055038547584,1.21823605755243,3.26786407854611,3.77383724743548,1.28735124148477,3.11832565659021,2.94626957838079,1.37799216321848,4.03490518389466,2.278985134087,1.51841457169379,1.70540896962125,3.78418618852357,4.70692274510309,2.07938095766615,2.18449081231613,1.50408974021635,2.80154028770229,3.42023014482361,3.14790701962304,3.88404822550605,2.15580940109173,1.76763973507975,2.20835241333127,4.78660692851454,2.21720595506976,1.75967281936754,4.32604357822105,3.71562363654686,2.76576244000996
"Florida",2.24674707887175,2.93138631986939,1.72954085217723,3.3024695193376,1.99333871129353,2.40774993334269,0,2.13172028496891,4.28172203861663,1.74287617298516,3.54860544845867,5.17575888810346,3.86545289338608,1.714820933351,5.29883232039798,1.40893930520046,3.71578006982779,1.3115833476922,4.68300859577395,3.01443930591697,2.47324076007007,4.1883976470574,4.23328161151053,1.91563145603915,5.28317390274917,3.13523031993542,1.27397039198883,1.54662464827731,2.92886692922379,5.92576211526486,3.32995945480639,3.29779258894003,3.28658662748144,3.86985483537202,4.16585862297125,2.4663511337379,5.00452956672433,2.34487591957308,1.81763038699451,3.86650225989342,5.95642243749565,3.09237476529897,3.50236389252359,5.19315587350796,5.02080422685151,3.56695300895354
"Georgia",1.11689418582123,2.7740728832956,2.74211858365403,2.18323415366771,3.3129671243549,2.82114680886404,2.13172028496891,0,3.74803142797785,2.2702919217959,2.65728073477447,4.19427145208368,2.40355732105331,0.843115802999271,4.2745096591432,1.81071204208809,3.61518700874675,1.88511129028095,3.9099644601309,1.5473053864509,2.07540425934691,3.05549994382835,3.38609771449167,2.84732810889319,4.28345537548007,3.14218822678344,1.87132144783895,2.31498555284156,2.28926616345373,4.79004296080481,2.76352922382111,2.67880391166066,2.96543666013374,3.13647318733022,4.11909153151199,1.36851959658662,3.81800086414127,1.0006352783177,1.72114910554316,3.66738579877973,4.63430036205301,2.19825723437411,3.26099832609025,3.79253845193635,4.16968649469276,2.69968681182304
"Hawaii",3.32211275624441,4.43450727413662,3.19572509839618,2.90154427020188,3.587460720942,2.76935682394425,4.28172203861663,3.74803142797785,0,2.6807080142623,1.5088559178563,2.10603506609136,2.46096799502058,3.50712224578046,2.65239798860783,3.54262928241494,1.3002649512062,3.34961720378837,1.43419704063725,4.38833039910839,2.13955932828462,2.19050464706489,1.62094369905476,3.95593161972165,2.25792847665508,1.47423433844749,3.48158892890038,2.85099490467894,4.63161565472202,3.12217458500849,1.1255714756646,1.62027089441254,1.95886811114877,1.1848567686719,2.01893146593346,4.16616084900705,2.73199772283919,3.01649440139501,2.54760126518564,1.05065838103118,3.62491717744914,2.00198186627613,1.5122971760856,3.19869718285254,1.6311179267428,2.13625038989528
"Illinois",1.8270937569703,3.19246666242533,1.06390529776268,2.39910931811902,1.87647162089527,1.75817095176345,1.74287617298516,2.2702919217959,2.6807080142623,0,2.1547837652939,3.66569642270529,2.77911707449257,1.62229346661995,3.85617313318857,1.31002412520369,1.97679007668846,1.36931578582865,3.09816450932859,3.01446307643114,1.32446271811093,2.89913604158571,2.74095404517241,2.34710605997647,3.77455405499877,1.42897332448319,1.30978007826045,0.343368072805118,2.93739694422575,4.52077036467168,1.77629339642128,1.80633024321693,2.03577663557474,2.26848298272074,2.4673714724257,2.55145866699188,3.71722799626678,1.90082662570136,0.810118340478204,2.24172294229426,4.75377761305342,1.81842174481634,2.02763129127242,4.01969084148875,3.41492636875572,2.21437577454764
